episode,timestep,reward
905,96768,0.0
907,97056,0.0
909,97344,0.0
911,97632,0.0
913,97920,0.0
916,98208,0.3021
918,98496,0.3781
920,98784,0.0
922,99072,0.0
925,99360,0.3083
930,99648,0.4637
933,99936,0.5896
937,100224,0.4094
940,100512,0.4813
942,100800,0.0
945,101088,0.2604
949,101376,0.3922
954,101664,0.6825
956,101952,0.0
958,102240,0.0
960,102528,0.0
964,102816,0.4172
966,103104,0.4656
968,103392,0.0
972,103680,0.4344
975,103968,0.1896
979,104256,0.6109
981,104544,0.0
985,104832,0.4609
988,105120,0.2854
990,105408,0.0
992,105696,0.0
995,105984,0.3083
999,106272,0.6234
1002,106560,0.4875
1004,106848,0.0
1010,107136,0.5656
1014,107424,0.6328
1016,107712,0.0
1019,108000,0.2563
1023,108288,0.425
1025,108576,0.0
1027,108864,0.2438
1030,109152,0.2792
1033,109440,0.2917
1036,109728,0.2896
1039,110016,0.3
1041,110304,0.4531
1045,110592,0.3141
1050,110880,0.6175
1052,111168,0.0
1054,111456,0.3219
1057,111744,0.2625
1059,112032,0.0
1061,112320,0.0
1063,112608,0.2219
1068,112896,0.4813
1070,113184,0.4
1072,113472,0.0
1075,113760,0.2
1077,114048,0.0
1079,114336,0.0
1081,114624,0.0
1085,114912,0.4422
1087,115200,0.0
1089,115488,0.0
1092,115776,0.3
1095,116064,0.3062
1097,116352,0.0
1099,116640,0.0
1105,116928,0.6979
1108,117216,0.4667
1112,117504,0.3891
1114,117792,0.0
1117,118080,0.5542
1123,118368,0.7333
1128,118656,0.4325
1131,118944,0.4
1135,119232,0.5828
1137,119520,0.0
1140,119808,0.2833
1143,120096,0.3083
1146,120384,0.2938
1151,120672,0.6362
1153,120960,0.3937
1155,121248,0.0
1158,121536,0.2812
1161,121824,0.2437
1164,122112,0.2729
1166,122400,0.2875
1171,122688,0.49
1174,122976,0.5125
1176,123264,0.1219
1179,123552,0.3083
1182,123840,0.2417
1185,124128,0.4792
1187,124416,0.0
1190,124704,0.1687
1192,124992,0.0
1194,125280,0.0
1196,125568,0.0
1198,125856,0.3781
1201,126144,0.2667
1207,126432,0.5708
1209,126720,0.0
1211,127008,0.0
1214,127296,0.425
1219,127584,0.5788
1221,127872,0.0
1223,128160,0.0
1228,128448,0.655
1230,128736,0.375
1236,129024,0.5552
1239,129312,0.4813
1241,129600,0.0
1245,129888,0.4125
1247,130176,0.0
1249,130464,0.3969
1251,130752,0.0
1257,131040,0.5552
1260,131328,0.5042
1265,131616,0.5925
1268,131904,0.475
1270,132192,0.0
1275,132480,0.5275
1278,132768,0.2792
1280,133056,0.0
1283,133344,0.5646
1285,133632,0.0
1287,133920,0.0
1289,134208,0.0
1296,134496,0.6366
1298,134784,0.0
1300,135072,0.0
1302,135360,0.0
1305,135648,0.5333
1308,135936,0.3021
1310,136224,0.0
1315,136512,0.5138
1317,136800,0.4031
1319,137088,0.0
1323,137376,0.5219
1329,137664,0.5938
1332,137952,0.55
1335,138240,0.3104
1341,138528,0.5427
1346,138816,0.635
1348,139104,0.375
1351,139392,0.2917
1353,139680,0.0
1358,139968,0.6712
1360,140256,0.0
1364,140544,0.35
1366,140832,0.0
1368,141120,0.3125
1370,141408,0.0
1373,141696,0.3542
1378,141984,0.46
1380,142272,0.0
1383,142560,0.5333
1387,142848,0.3875
1393,143136,0.6865
1397,143424,0.65
1401,143712,0.3844
1406,144000,0.635
1409,144288,0.2979
1412,144576,0.4917
1414,144864,0.0
1418,145152,0.4219
1420,145440,0.0
1422,145728,0.0
1424,146016,0.3594
1427,146304,0.3125
1432,146592,0.5
1434,146880,0.0
1437,147168,0.5583
1442,147456,0.4825
1444,147744,0.0
1446,148032,0.0
1448,148320,0.0
1450,148608,0.3625
1456,148896,0.5417
1458,149184,0.0
1460,149472,0.0
1462,149760,0.4219
1465,150048,0.2604
1467,150336,0.0
1469,150624,0.0
1473,150912,0.3891
1475,151200,0.0
1479,151488,0.5156
1483,151776,0.5922
1485,152064,0.0
1488,152352,0.4917
1491,152640,0.2396
1493,152928,0.0
1496,153216,0.5146
1500,153504,0.3078
1502,153792,0.0
1504,154080,0.0
1509,154368,0.6562
1515,154656,0.6573
1517,154944,0.3937
1520,155232,0.2812
1522,155520,0.0
1525,155808,0.2729
1527,156096,0.1625
1532,156384,0.4925
1534,156672,0.3781
1537,156960,0.2646
1539,157248,0.0
1541,157536,0.0
1544,157824,0.3417
1547,158112,0.1646
1549,158400,0.2594
1552,158688,0.2833
1555,158976,0.2437
1558,159264,0.3667
1560,159552,0.0
1562,159840,0.3312
1565,160128,0.2417
1568,160416,0.2771
1570,160704,0.0
1572,160992,0.3656
1574,161280,0.0
1576,161568,0.0
1580,161856,0.3688
1583,162144,0.4229
1585,162432,0.0
1588,162720,0.2333
1590,163008,0.0
1593,163296,0.5167
1596,163584,0.1458
1599,163872,0.5187
1602,164160,0.2625
1605,164448,0.575
1607,164736,0.0
1611,165024,0.3344
1614,165312,0.2938
1617,165600,0.5354
1619,165888,0.0
1622,166176,0.175
1624,166464,0.0
1626,166752,0.0
1629,167040,0.2958
1632,167328,0.5083
1634,167616,0.0
1638,167904,0.4406
1641,168192,0.275
1643,168480,0.0
1645,168768,0.3281
1647,169056,0.0594
1652,169344,0.5112
1654,169632,0.0
1656,169920,0.0
1659,170208,0.5729
1664,170496,0.4487
1668,170784,0.6672
1670,171072,0.0
1672,171360,0.0
1674,171648,0.0
1679,171936,0.5088
1681,172224,0.3063
1683,172512,0.0
1687,172800,0.4062
1689,173088,0.0781
1692,173376,0.2417
1696,173664,0.5703
1701,173952,0.6162
1703,174240,0.3406
1706,174528,0.1333
1709,174816,0.3
1712,175104,0.5271
1715,175392,0.2542
1718,175680,0.2708
1720,175968,0.3156
1722,176256,0.0
1724,176544,0.0
1726,176832,0.1437
1729,177120,0.2563
1731,177408,0.0
1735,177696,0.3594
1738,177984,0.4917
1740,178272,0.0
1742,178560,0.0
1746,178848,0.4406
1748,179136,0.3094
1752,179424,0.3625
1755,179712,0.5187
1758,180000,0.2125
1760,180288,0.3344
1762,180576,0.0
1768,180864,0.575
1770,181152,0.0
1772,181440,0.0
1776,181728,0.4297
1780,182016,0.5594
1783,182304,0.3042
1785,182592,0.0
1787,182880,0.375
1791,183168,0.4219
1794,183456,0.2729
1798,183744,0.6016
1802,184032,0.3844
1804,184320,0.3125
1806,184608,0.0
1809,184896,0.2896
1811,185184,0.0
1814,185472,0.3458
1817,185760,0.2854
1820,186048,0.2938
1822,186336,0.4125
1825,186624,0.1542
1827,186912,0.0
1829,187200,0.0
1831,187488,0.0
1834,187776,0.475
1836,188064,0.0
1838,188352,0.0
1840,188640,0.0
1842,188928,0.0
1844,189216,0.0
1848,189504,0.3469
1850,189792,0.3594
1854,190080,0.4484
1857,190368,0.2354
1859,190656,0.0
1862,190944,0.2958
1864,191232,0.4406
1867,191520,0.2979
1871,191808,0.35
1874,192096,0.2958
1876,192384,0.0
1878,192672,0.0
1882,192960,0.6531
1888,193248,0.676
1891,193536,0.2646
1893,193824,0.0
1895,194112,0.0
1897,194400,0.0
1900,194688,0.2938
1903,194976,0.5667
1905,195264,0.0656
1907,195552,0.0
1909,195840,0.0
1915,196128,0.5635
1918,196416,0.2833
1920,196704,0.3812
1925,196992,0.4825
1931,197280,0.7021
1934,197568,0.3896
1936,197856,0.2875
1938,198144,0.0
1940,198432,0.0
1942,198720,0.0
1946,199008,0.5125
1950,199296,0.4391
1952,199584,0.0
1957,199872,0.5225
1960,200160,0.3167
1964,200448,0.5891
1967,200736,0.275
1970,201024,0.5687
1973,201312,0.2938
1975,201600,0.0
1978,201888,0.4562
1982,202176,0.4703
1986,202464,0.4187
1990,202752,0.6125
1994,203040,0.6047
1996,203328,0.0
1998,203616,0.0
2002,203904,0.3984
2004,204192,0.0
2007,204480,0.2521
2009,204768,0.0
2011,205056,0.0
2013,205344,0.3375
2019,205632,0.55
2021,205920,0.0
2023,206208,0.0
2025,206496,0.0
2028,206784,0.425
2030,207072,0.2719
2033,207360,0.3687
2038,207648,0.5075
2042,207936,0.4375
2044,208224,0.0
2046,208512,0.0
2050,208800,0.6453
2052,209088,0.0
2055,209376,0.2812
2057,209664,0.0
2060,209952,0.2354
2062,210240,0.4406
2066,210528,0.3703
2068,210816,0.0
2070,211104,0.0
2072,211392,0.0
2074,211680,0.0
2077,211968,0.3021
2080,212256,0.4917
2082,212544,0.0
2085,212832,0.2563
2088,213120,0.4417
2091,213408,0.2375
2093,213696,0.0
2096,213984,0.3125
2103,214272,0.7143
2105,214560,0.0
2107,214848,0.0
2109,215136,0.0
2111,215424,0.0
2113,215712,0.4375
