episode,timestep,reward
1,288,0.0
3,576,0.0
5,864,0.0
7,1152,0.0
9,1440,0.0
11,1728,0.0
13,2016,0.0
15,2304,0.0
17,2592,0.0
19,2880,0.0
21,3168,0.0
23,3456,0.0
25,3744,0.0
27,4032,0.0
29,4320,0.0
31,4608,0.0
33,4896,0.0
35,5184,0.0
37,5472,0.0
39,5760,0.0
41,6048,0.0
44,6336,0.2667
46,6624,0.0
48,6912,0.0
50,7200,0.0
52,7488,0.0
54,7776,0.0
56,8064,0.0
58,8352,0.0
60,8640,0.0
62,8928,0.0
64,9216,0.0
66,9504,0.0
68,9792,0.0
70,10080,0.0
72,10368,0.0
74,10656,0.0
76,10944,0.0
78,11232,0.0
80,11520,0.0
82,11808,0.0
84,12096,0.0
86,12384,0.0
88,12672,0.0
90,12960,0.0
92,13248,0.0
94,13536,0.0
96,13824,0.0
98,14112,0.0
100,14400,0.0
102,14688,0.0
104,14976,0.0
106,15264,0.0
109,15552,0.1771
111,15840,0.0
113,16128,0.0
115,16416,0.0
117,16704,0.0
119,16992,0.0
122,17280,0.2812
124,17568,0.0
126,17856,0.0594
128,18144,0.0
130,18432,0.0
132,18720,0.0
134,19008,0.0
136,19296,0.0
138,19584,0.0
140,19872,0.0
142,20160,0.0
144,20448,0.0
146,20736,0.0
148,21024,0.0
150,21312,0.0
152,21600,0.0
155,21888,0.3042
157,22176,0.0
159,22464,0.0
161,22752,0.0
163,23040,0.0
165,23328,0.0
167,23616,0.0
169,23904,0.1281
171,24192,0.0
173,24480,0.0
175,24768,0.0
177,25056,0.0
179,25344,0.0
181,25632,0.175
183,25920,0.0
185,26208,0.0
187,26496,0.2125
189,26784,0.0
191,27072,0.0
193,27360,0.0
195,27648,0.0
198,27936,0.2063
200,28224,0.0
202,28512,0.0
204,28800,0.0
206,29088,0.1687
208,29376,0.0
210,29664,0.0
213,29952,0.1479
215,30240,0.0
217,30528,0.0
219,30816,0.0
221,31104,0.0
223,31392,0.0
225,31680,0.0
227,31968,0.0
229,32256,0.0
231,32544,0.0
233,32832,0.0562
235,33120,0.0
237,33408,0.0
239,33696,0.0
241,33984,0.0
243,34272,0.0
245,34560,0.0
247,34848,0.0
249,35136,0.0
251,35424,0.0
253,35712,0.0
255,36000,0.0
257,36288,0.0
259,36576,0.0
261,36864,0.0
263,37152,0.3656
265,37440,0.0
267,37728,0.0
270,38016,0.3021
272,38304,0.0
274,38592,0.0
276,38880,0.0
279,39168,0.2854
281,39456,0.175
283,39744,0.0
285,40032,0.1156
287,40320,0.0
289,40608,0.0
291,40896,0.0
293,41184,0.0
295,41472,0.0
297,41760,0.0781
300,42048,0.3021
303,42336,0.1479
305,42624,0.0
307,42912,0.2531
309,43200,0.0
311,43488,0.0
313,43776,0.0
315,44064,0.0
317,44352,0.0
319,44640,0.0
321,44928,0.0
323,45216,0.0625
325,45504,0.0
327,45792,0.0
329,46080,0.0
331,46368,0.0844
333,46656,0.0
335,46944,0.0
337,47232,0.0
339,47520,0.0
341,47808,0.0
343,48096,0.0
345,48384,0.0
347,48672,0.0
350,48960,0.2229
352,49248,0.0
354,49536,0.0
356,49824,0.1562
358,50112,0.0
360,50400,0.0
362,50688,0.0
364,50976,0.0
367,51264,0.2333
369,51552,0.0
371,51840,0.0
373,52128,0.0
375,52416,0.0
377,52704,0.0
379,52992,0.2281
381,53280,0.0
384,53568,0.2188
386,53856,0.0
388,54144,0.0
390,54432,0.0
392,54720,0.0
394,55008,0.0
396,55296,0.0
398,55584,0.0
400,55872,0.0
402,56160,0.0
404,56448,0.0
406,56736,0.0
408,57024,0.0
410,57312,0.0
412,57600,0.0
414,57888,0.2438
416,58176,0.0
418,58464,0.0
420,58752,0.0
422,59040,0.0
425,59328,0.2917
427,59616,0.15
429,59904,0.0
431,60192,0.0
434,60480,0.1146
436,60768,0.0
438,61056,0.0
440,61344,0.0
